Comp,LaA,NdA,SmA,GdA,EuA,YbA,YA,DyA,HoA,ErA,PrA,CeA,ZrB,HfB,SnB,CeB,TiB,RA,RB,RA/RB,MA,MB,P,a2,Density,RD,Entropy_conf,TC
La2Zr2O7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.16,0.72,1.611111111,138.90547,91.224,1,10.72833243,6.135068775,95.5,0.171259091,2.14
Sm2Zr2O7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.079,0.72,1.498611111,150.36,91.224,1,10.57428065,6.664528318,100,0.171259091,2.04
La2(Zr1/2Hf1/2)2O7,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1.16,0.715,1.622377622,138.90547,134.857,1,10.71379343,7.102759651,98.1,0.801392891,2.29
Sm2(Zr1/4Hf1/4Sn1/4Ti1/4)2O7,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,1.079,0.68125,1.583853211,150.36,109.07275,1,10.46694619,7.285213484,97.7,1.431526692,1.73
Gd2(Zr1/4Hf1/4Sn1/4Ti1/4)2O7,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,1.053,0.68125,1.545688073,157.25,109.07275,1,10.41712839,7.5521744,96.2,1.431526692,1.58
(Sm1/2Gd1/2)2(Zr1/3Hf1/3Ti1/3)2O7,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0.333333333,1.066,0.678333333,1.571498771,153.805,105.8603333,1,10.43404431,7.359788881,97.9,1.800131336,1.47
(Gd1/2Eu1/2)2(Zr1/3Hf1/3Ti1/3)2O7,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0.333333333,1.0595,0.678333333,1.561916462,154.607,105.8603333,1,10.4215925,7.405026739,97.5,1.800131336,1.52
(La1/2Pr1/2)2(Zr1/3Hf1/3Sn1/3)2O7,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.333333333,0.333333333,0.333333333,0,0,1.06,0.706666667,1.5,139.90656,129.4746667,1,10.50043017,7.444046342,94.8,1.800131336,2.24
(Gd1/2Eu1/2)2(Zr1/3Hf1/3Sn1/3)2O7,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,1.0595,0.706666667,1.499292453,154.607,129.4746667,1,10.49943753,7.783609439,93.5,1.800131336,2.24
(La1/3Nd1/3Pr1/3)2(Zr1/2Hf1/2)2O7,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0.5,0.5,0,0,0,1.076333333,0.715,1.505361305,141.3517067,134.857,1,10.55540136,7.482594556,96.5,1.800131336,2.16
(Sm1/3Gd1/3Eu1/3)2(Zr1/2Hf1/2)2O7,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1.066,0.715,1.490909091,153.1913333,134.857,1,10.53491964,7.795366028,97.9,1.800131336,1.97
(Sm1/3Gd1/3Eu1/3)2(Zr1/3Hf1/3Sn1/3)2O7,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,1.066,0.706666667,1.508490566,153.1913333,129.4746667,1,10.51230472,7.722684969,93.8,2.168735979,2.21
(Sm1/3Gd1/3Eu1/3)2(Zr1/4Hf1/4Sn1/4Ti1/4)2O7,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,1.066,0.68125,1.564770642,153.1913333,109.07275,1,10.44219987,7.40319913,96.4,2.430265136,1.67
(Sm1/4Gd1/4Eu1/4Yb1/4)2(Zr1/4Hf1/4Sn1/4Ti1/4)2O7,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,1.04575,0.68125,1.535045872,158.1535,109.07275,1,10.40300498,7.60429744,98.1,2.691794293,1.45
(Sm1/3Gd1/3Eu1/3)2(Zr1/6Hf1/6Sn1/6Ti1/2)2O7,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0.5,1.066,0.655833333,1.625412961,153.1913333,88.67083333,1,10.37034454,7.072118014,94.9,2.299500558,1.71
(Sm1/3Gd1/3Eu1/3)2(Zr1/12Hf1/12Sn1/12Ti3/4)2O7,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0.083333333,0.083333333,0.083333333,0,0.75,1.066,0.630416667,1.690945142,153.1913333,68.26891667,1,10.29667235,6.728462679,94.6,1.930895914,1.9
(Sm1/4Gd1/4Eu1/4Yb1/4)2(Zr1/4Hf1/4Ti1/2)2O7,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0.25,0,0,0.5,1.04575,0.66,1.584469697,158.1535,91.362,1,10.34404049,7.309927947,97.8,2.376727393,1.36
(Sm3/4Yb1/4)2(Zr1/2Ti1/2)2O7,0,0,0.75,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0.5,1.0555,0.6625,1.593207547,156.03,69.5455,1,10.3695927,6.685571849,98.8,1.312606659,1.4
(La1/5Nd1/5Sm1/5Eu1/5Ce1/5)2Zr2O7,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0.2,1,0,0,0,0,1.1114,0.72,1.543611111,145.117494,91.224,1,10.6373882,6.430895088,99.1,1.634384466,2.06
(La1/7Nd1/7Sm1/7Gd1/7Eu1/7Pr1/7Ce1/7)2(Zr1/2Hf1/2)2O7,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,0,0,0.142857143,0.142857143,0.5,0.5,0,0,0,1.081428571,0.715,1.512487512,146.2493029,134.857,1,10.56542624,7.571647359,98.6,2.570402118,1.97
(La1/7Nd1/7Sm1/7Gd1/7Eu1/7Pr1/7Ce1/7)2(Zr1/3Hf1/3Sn1/3)2O7,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0,0,0,0.142857143,0.142857143,0.333333333,0.333333333,0.333333333,0,0,1.081428571,0.706666667,1.53032345,146.2493029,129.4746667,1,10.54252513,7.49905354,98.7,2.939006762,2.02
AL-W-3-2_21-8,0.2857,0.3571,0,0.357,0,0,0,0,0,0,0,0,1,0,0,0,0,1.1033569,0.72,1.532440139,147.332361,91.224,1,10.62190712,6.508158824,95.9,1.165227795,2.034
AL-W-5-2_21-8,0.3333,0.2593,0.1481,0,0,0.1111,0,0,0.1481,0,0,0,1,0,0,0,0,1.0937466,0.72,1.5190925,149.6183841,91.224,1,10.60324935,6.593524962,97.2,1.558551448,1.903
AL2-W-5-1,0.43,0.05,0,0.05,0,0.38,0,0.09,0,0,0,0,1,0,0,0,0,1.07363,0.72,1.491152778,155.1841521,91.224,0,10.56362964,6.79344045,93.9,1.304783993,1.6244
AL2-W-5-2,0.45,0.05,0,0,0,0.35,0,0.1,0.05,0,0,0,1,0,0,0,0,1.07565,0.72,1.493958333,154.7800775,91.224,0,10.56764256,6.776607076,91.509,1.313620858,1.814
